energy,hr,day,month,yr,diff
959838,16,28,8,2025,26
959865,17,28,8,2025,53
959892,18,28,8,2025,27
959924,19,28,8,2025,32
959956,20,28,8,2025,64
959986,21,28,8,2025,30
960015,22,28,8,2025,29
960047,23,28,8,2025,61
960077,24,28,8,2025,30
960105,1,29,8,2025,58
960114,2,29,8,2025,9
,3,29,8,2025,40
,4,29,8,2025,36
,5,29,8,2025,37
960246,6,29,8,2025,19
960277,7,29,8,2025,31
,8,29,8,2025,32
,9,29,8,2025,29
960370,10,29,8,2025,32
960401,11,29,8,2025,31
960431,12,29,8,2025,30
960462,13,29,8,2025,31
960489,14,29,8,2025,27
960518,15,29,8,2025,29
960549,16,29,8,2025,31
960566,17,29,8,2025,17
960593,18,29,8,2025,27
,19,29,8,2025,27
,20,29,8,2025,27
960691,21,29,8,2025,44
960719,22,29,8,2025,28
960720,23,29,8,2025,1
,24,29,8,2025,24
,1,30,8,2025,25
,2,30,8,2025,25
,3,30,8,2025,24
,4,30,8,2025,24
,5,30,8,2025,21
,6,30,8,2025,20
,7,30,8,2025,23
,8,30,8,2025,23
,9,30,8,2025,22
,10,30,8,2025,22
,11,30,8,2025,22
961083,12,30,8,2025,88
961106,13,30,8,2025,23
961132,14,30,8,2025,26
961148,15,30,8,2025,16
961168,16,30,8,2025,20
961172,17,30,8,2025,4
961208,18,30,8,2025,36
961230,19,30,8,2025,22
961269,20,30,8,2025,39
961297,21,30,8,2025,28
961314,22,30,8,2025,17
,23,30,8,2025,23
,24,30,8,2025,24
,1,31,8,2025,27
,2,31,8,2025,25
,3,31,8,2025,26
961481,4,31,8,2025,42
961523,5,31,8,2025,42
961524,6,31,8,2025,1
961576,7,31,8,2025,52
961583,8,31,8,2025,7
961633,9,31,8,2025,50
961661,10,31,8,2025,28
961687,11,31,8,2025,26
961689,12,31,8,2025,2
,13,31,8,2025,23
961751,14,31,8,2025,39
961790,15,31,8,2025,39
961821,17,31,8,2025,31
961863,19,31,8,2025,42
961869,20,31,8,2025,6
,21,31,8,2025,26
,22,31,8,2025,20
,23,31,8,2025,22
,24,31,8,2025,26
